Year,Country,Company,Developer_Type,Experience_Level,Avg_Salary_USD,Requirement_Rate,Remote_Work,Job_Satisfaction,Work_Hours_Per_Week
2013,UK,Netflix,Full Stack Developer,Junior,77336,60,No,7,54
2017,USA,Google,Frontend Developer,Mid,130988,88,No,9,47
2013,Germany,Google,Frontend Developer,Mid,78873,50,Yes,5,49
2019,India,Infosys,Frontend Developer,Junior,41288,79,No,8,37
2019,UK,Wipro,Data Scientist,Junior,102999,91,Yes,7,35
2011,Canada,Netflix,Full Stack Developer,Mid,81684,63,Yes,8,55
2013,India,Meta,Frontend Developer,Mid,19221,88,Yes,10,46
2017,UK,Wipro,Backend Developer,Senior,79242,74,No,7,50
2013,India,Amazon,Data Scientist,Junior,22146,95,Yes,7,46
2017,Canada,Accenture,Data Scientist,Senior,109420,50,Yes,5,40
2017,USA,Amazon,Full Stack Developer,Mid,128021,63,Yes,5,51
2013,USA,Google,Mobile Developer,Senior,131805,63,Yes,6,47
2015,USA,TCS,Data Scientist,Mid,114269,93,No,10,53
2011,USA,Meta,Mobile Developer,Mid,128062,67,No,8,43
2017,India,Netflix,Frontend Developer,Junior,29577,95,Yes,5,39
2019,Germany,TCS,Mobile Developer,Senior,104134,89,No,5,54
2019,USA,Infosys,Frontend Developer,Junior,116092,94,No,6,38
2015,Australia,Wipro,Mobile Developer,Senior,80509,65,No,6,49
2015,USA,TCS,Mobile Developer,Junior,101316,52,Yes,8,36
2017,Canada,Microsoft,Mobile Developer,Mid,104109,54,Yes,10,45
2013,Canada,TCS,Frontend Developer,Mid,92377,77,No,10,50
2015,Australia,TCS,Mobile Developer,Senior,93872,70,Yes,7,38
2017,India,Amazon,Backend Developer,Mid,37249,67,Yes,8,42
2013,UK,Amazon,Full Stack Developer,Senior,83057,52,Yes,10,44
2013,India,Google,Mobile Developer,Mid,18088,62,Yes,8,46
2017,Germany,Wipro,Mobile Developer,Mid,113941,76,No,5,53
2013,USA,Amazon,Backend Developer,Mid,133158,56,No,8,52
2013,UK,Google,Backend Developer,Senior,57941,90,No,5,53
2017,India,Meta,Mobile Developer,Junior,33371,64,No,7,46
2013,Australia,TCS,Mobile Developer,Junior,70735,79,Yes,6,48
2019,Australia,IBM,Data Scientist,Senior,115777,88,Yes,10,50
2011,USA,Accenture,Mobile Developer,Junior,124646,74,Yes,5,41
2011,USA,Amazon,Full Stack Developer,Junior,102810,75,Yes,9,51
2019,India,TCS,Mobile Developer,Senior,35736,95,No,10,45
2013,Australia,TCS,Frontend Developer,Mid,101566,72,No,8,41
2015,Germany,IBM,Data Scientist,Junior,101982,93,No,9,50
2019,Canada,Meta,Mobile Developer,Senior,94357,89,Yes,5,42
2013,Germany,Google,Backend Developer,Mid,84177,76,No,7,55
2015,Canada,Amazon,Frontend Developer,Junior,78338,55,Yes,10,53
2011,Germany,Google,Data Scientist,Mid,79352,62,Yes,5,53
2017,Canada,Meta,Frontend Developer,Senior,95017,53,No,5,53
2017,USA,IBM,Mobile Developer,Junior,137952,52,No,8,36
2013,Germany,Netflix,Backend Developer,Junior,94851,94,No,10,48
2017,USA,Google,Data Scientist,Senior,102200,70,Yes,7,50
2017,India,Accenture,Backend Developer,Junior,26779,71,Yes,7,42
2011,Canada,Netflix,Mobile Developer,Senior,93873,62,No,10,53
2013,UK,IBM,Mobile Developer,Mid,82683,61,Yes,9,46
2013,Canada,TCS,Backend Developer,Junior,75272,51,Yes,7,44
2015,Germany,Amazon,Data Scientist,Junior,79771,75,No,10,42
2017,India,Meta,Frontend Developer,Junior,29482,74,Yes,10,45
2011,India,Meta,Mobile Developer,Senior,17619,74,Yes,9,40
2011,Canada,Microsoft,Data Scientist,Mid,80089,89,No,10,49
2015,USA,Microsoft,Full Stack Developer,Junior,98427,79,No,7,54
2017,Germany,IBM,Frontend Developer,Mid,104756,61,Yes,10,44
2019,Germany,Wipro,Data Scientist,Mid,97603,61,No,10,38
2013,UK,Netflix,Full Stack Developer,Senior,68785,63,Yes,6,55
2011,Germany,Google,Frontend Developer,Junior,63310,50,No,8,54
2019,UK,Infosys,Frontend Developer,Mid,83427,78,No,9,47
2015,Germany,Microsoft,Full Stack Developer,Senior,86798,64,Yes,7,41
2017,Canada,Wipro,Mobile Developer,Junior,96038,53,Yes,8,44
2019,UK,Amazon,Data Scientist,Junior,99054,72,No,7,44
2019,UK,IBM,Backend Developer,Junior,108903,78,No,7,45
2011,Australia,Netflix,Full Stack Developer,Junior,80374,73,No,7,37
2013,USA,Google,Frontend Developer,Senior,95226,94,Yes,5,40
2019,UK,IBM,Data Scientist,Junior,81589,72,Yes,10,43
2013,USA,IBM,Full Stack Developer,Junior,130117,54,Yes,10,41
2019,Australia,Meta,Frontend Developer,Mid,111103,91,No,5,40
2013,Australia,Netflix,Full Stack Developer,Mid,97602,82,No,7,41
2019,Germany,Amazon,Full Stack Developer,Mid,94421,73,Yes,9,36
2017,Canada,Amazon,Mobile Developer,Senior,96160,53,No,10,53
2017,Australia,Meta,Data Scientist,Senior,87447,88,Yes,6,40
2019,USA,Microsoft,Data Scientist,Junior,102948,68,No,9,38
2019,Australia,Wipro,Backend Developer,Junior,92623,89,No,8,45
2011,UK,Microsoft,Mobile Developer,Mid,87034,50,Yes,5,45
2019,India,Google,Data Scientist,Senior,37100,70,No,5,39
2019,India,Meta,Full Stack Developer,Junior,39719,95,Yes,8,54
2011,UK,TCS,Data Scientist,Junior,56768,54,No,5,37
2015,Australia,Google,Data Scientist,Mid,79996,88,No,8,47
2019,USA,IBM,Mobile Developer,Senior,102792,70,Yes,6,45
2017,UK,Meta,Data Scientist,Mid,98984,87,No,5,35
2015,Canada,Microsoft,Data Scientist,Senior,95263,72,No,7,46
2013,Australia,Microsoft,Frontend Developer,Mid,93850,80,Yes,8,35
2015,Canada,Netflix,Data Scientist,Senior,78678,68,Yes,8,47
2017,India,Accenture,Mobile Developer,Senior,35531,91,No,8,52
2013,Canada,Accenture,Mobile Developer,Junior,88798,87,Yes,7,48
2011,USA,Microsoft,Data Scientist,Mid,97849,55,Yes,10,47
2017,Canada,Wipro,Frontend Developer,Senior,90465,53,No,8,50
2015,Germany,Amazon,Full Stack Developer,Senior,81852,57,Yes,9,41
2015,Australia,Google,Data Scientist,Senior,92097,91,Yes,10,52
2015,India,Infosys,Backend Developer,Senior,20624,57,Yes,5,40
2011,India,Infosys,Frontend Developer,Mid,11332,62,No,10,51
2017,Australia,Amazon,Backend Developer,Senior,107012,76,No,6,49
2013,UK,Infosys,Frontend Developer,Senior,58087,77,No,10,53
2011,India,Google,Full Stack Developer,Mid,17015,66,No,6,36
2013,Canada,IBM,Full Stack Developer,Senior,79881,64,No,9,39
2013,Germany,TCS,Full Stack Developer,Senior,98505,77,Yes,5,35
2019,UK,Netflix,Full Stack Developer,Senior,94306,75,Yes,9,49
2017,Australia,Microsoft,Backend Developer,Senior,105637,81,Yes,6,44
2015,Germany,Meta,Backend Developer,Senior,98669,89,Yes,8,52
2015,Canada,IBM,Full Stack Developer,Mid,103278,77,No,5,39
2013,UK,Infosys,Backend Developer,Senior,63926,82,Yes,8,46
2015,Canada,Meta,Full Stack Developer,Senior,99321,58,Yes,10,47
2017,UK,Infosys,Data Scientist,Junior,99208,70,No,5,45
2011,India,Microsoft,Backend Developer,Mid,23171,69,No,7,41
2019,India,Infosys,Mobile Developer,Mid,30748,73,Yes,6,54
2011,UK,Google,Frontend Developer,Mid,57656,64,Yes,8,36
2019,Germany,Wipro,Frontend Developer,Senior,102392,80,Yes,9,48
2017,Canada,Google,Full Stack Developer,Junior,84937,55,No,8,37
2011,Germany,TCS,Frontend Developer,Junior,77420,57,No,6,51
2017,USA,Amazon,Mobile Developer,Mid,99372,66,Yes,7,45
2019,Canada,TCS,Backend Developer,Mid,109168,75,Yes,8,53
2011,USA,Meta,Full Stack Developer,Senior,108454,79,No,10,36
2011,Australia,Google,Data Scientist,Mid,80894,73,Yes,8,35
2019,USA,Microsoft,Backend Developer,Senior,142562,88,Yes,5,45
2013,Australia,Google,Frontend Developer,Senior,95545,69,Yes,6,39
2017,Australia,IBM,Mobile Developer,Mid,83556,92,Yes,5,40
2019,Australia,Wipro,Data Scientist,Junior,116082,55,Yes,7,49
2013,Canada,Microsoft,Backend Developer,Mid,68120,76,Yes,9,40
2017,Australia,Google,Full Stack Developer,Mid,83673,74,Yes,9,44
2011,Germany,Google,Mobile Developer,Mid,82200,83,No,8,38
2011,Australia,Google,Full Stack Developer,Senior,97205,89,Yes,7,40
2013,Australia,Microsoft,Mobile Developer,Junior,95126,79,No,7,43
2017,Germany,Netflix,Frontend Developer,Mid,97478,88,No,8,45
2015,Germany,Accenture,Backend Developer,Mid,74788,69,Yes,8,46
2017,UK,Infosys,Frontend Developer,Senior,78043,79,Yes,7,54
2011,Canada,Amazon,Frontend Developer,Mid,66694,62,Yes,8,50
2013,Canada,Infosys,Full Stack Developer,Junior,98041,74,No,9,35
2015,Australia,IBM,Frontend Developer,Junior,107860,85,Yes,8,43
2019,USA,Google,Full Stack Developer,Mid,103893,79,No,7,54
2013,Australia,TCS,Data Scientist,Senior,103932,56,No,7,51
2015,Germany,Microsoft,Mobile Developer,Junior,70434,86,No,5,48
2015,Germany,Amazon,Data Scientist,Mid,88603,87,Yes,10,53
2015,India,Google,Mobile Developer,Mid,19106,60,Yes,8,45
2013,Australia,Accenture,Backend Developer,Senior,90157,93,No,10,37
2011,USA,Accenture,Mobile Developer,Senior,70346,84,Yes,5,44
2011,Canada,Meta,Backend Developer,Junior,93952,93,Yes,5,51
2019,India,IBM,Mobile Developer,Senior,36659,57,Yes,10,43
2017,UK,Google,Data Scientist,Senior,84724,84,Yes,9,48
2017,India,Wipro,Mobile Developer,Senior,35502,53,No,9,43
2013,Germany,Wipro,Frontend Developer,Senior,91749,95,No,6,52
2011,UK,Meta,Data Scientist,Mid,77219,64,No,9,43
2011,Australia,Google,Full Stack Developer,Junior,69966,87,No,7,48
2013,India,Wipro,Mobile Developer,Mid,13135,93,No,9,38
2013,Australia,Netflix,Backend Developer,Junior,75266,61,Yes,7,38
2015,Australia,Google,Backend Developer,Senior,79039,74,No,10,55
2015,India,Microsoft,Frontend Developer,Mid,34033,63,No,10,46
2017,Australia,Wipro,Data Scientist,Mid,108570,62,No,5,37
2017,Australia,Meta,Data Scientist,Mid,85911,53,No,10,40
2019,USA,TCS,Mobile Developer,Senior,129849,65,Yes,10,41
2017,India,Amazon,Data Scientist,Junior,39330,65,No,8,37
2019,Germany,Accenture,Mobile Developer,Senior,90992,81,No,7,55
2017,USA,Infosys,Data Scientist,Junior,127540,91,No,10,46
2017,Australia,Meta,Backend Developer,Mid,91488,50,Yes,10,45
2011,India,Netflix,Mobile Developer,Mid,14468,94,No,8,47
2015,India,Microsoft,Mobile Developer,Junior,18923,63,No,10,44
2017,Canada,Microsoft,Backend Developer,Junior,109648,75,No,7,48
2019,India,Infosys,Backend Developer,Senior,43753,65,Yes,5,37
2011,India,TCS,Backend Developer,Junior,20685,69,Yes,10,43
2019,UK,Infosys,Mobile Developer,Senior,77872,56,No,6,35
2015,Germany,Meta,Full Stack Developer,Junior,103401,74,Yes,8,46
2011,USA,Accenture,Mobile Developer,Mid,75553,51,Yes,7,39
2017,UK,Google,Frontend Developer,Junior,98265,65,Yes,8,50
2011,UK,Accenture,Data Scientist,Junior,85259,57,Yes,7,39
2013,USA,Wipro,Backend Developer,Senior,81699,92,No,6,44
2019,USA,Microsoft,Full Stack Developer,Mid,140330,52,No,5,50
2013,Australia,Accenture,Full Stack Developer,Junior,91001,92,No,6,51
2019,USA,Meta,Data Scientist,Mid,144159,90,Yes,8,48
2017,India,TCS,Full Stack Developer,Junior,24464,67,Yes,6,40
2019,India,Microsoft,Frontend Developer,Junior,35005,73,Yes,9,51
2017,Germany,Meta,Full Stack Developer,Mid,102476,93,No,8,47
2019,UK,Netflix,Frontend Developer,Senior,80521,69,No,10,36
2013,Germany,Wipro,Frontend Developer,Junior,100388,94,No,7,45
2015,Germany,Meta,Full Stack Developer,Junior,71266,94,Yes,10,41
2013,Australia,Accenture,Backend Developer,Senior,85716,76,No,10,36
2013,USA,Microsoft,Full Stack Developer,Mid,134296,68,No,8,49
2017,UK,Meta,Backend Developer,Mid,92449,92,Yes,6,44
2019,USA,Google,Mobile Developer,Mid,149743,72,Yes,5,42
2015,India,Wipro,Mobile Developer,Senior,32712,68,Yes,6,40
2017,UK,Accenture,Data Scientist,Mid,94909,55,Yes,9,49
2013,India,Accenture,Frontend Developer,Junior,13614,62,Yes,8,44
2015,Canada,Amazon,Backend Developer,Senior,71675,77,No,5,54
2019,India,TCS,Data Scientist,Mid,37153,85,Yes,6,44
2015,India,Accenture,Mobile Developer,Junior,25450,60,Yes,10,39
2015,Australia,Google,Mobile Developer,Senior,83853,87,No,7,36
2017,Australia,IBM,Mobile Developer,Senior,84091,63,Yes,8,38
2013,Germany,Wipro,Mobile Developer,Mid,104722,68,Yes,5,51
2011,India,Wipro,Frontend Developer,Senior,17314,84,Yes,9,55
2015,India,Google,Mobile Developer,Senior,31910,75,Yes,8,42
2013,Australia,Netflix,Mobile Developer,Junior,88025,74,No,6,42
2019,India,Google,Data Scientist,Mid,35596,71,No,7,42
2017,India,Wipro,Mobile Developer,Senior,39568,53,No,7,54
2019,USA,TCS,Mobile Developer,Mid,102506,55,Yes,7,49
2011,USA,Meta,Mobile Developer,Senior,97574,85,No,5,43
2017,Australia,IBM,Mobile Developer,Junior,82832,65,Yes,9,38
2011,Canada,Google,Backend Developer,Mid,78232,59,No,6,37
2017,India,Microsoft,Frontend Developer,Junior,34744,80,Yes,6,36
2017,UK,Infosys,Full Stack Developer,Mid,91062,61,No,8,41
2011,India,Accenture,Full Stack Developer,Mid,23043,72,Yes,7,45
2019,Australia,Google,Frontend Developer,Mid,110036,50,No,6,50
2017,Australia,Infosys,Backend Developer,Senior,80097,61,Yes,8,46
2013,Australia,TCS,Full Stack Developer,Senior,92981,80,No,7,38
2015,USA,Netflix,Frontend Developer,Mid,135464,75,Yes,10,43
2011,India,Accenture,Full Stack Developer,Senior,10050,86,No,6,37
2013,Canada,TCS,Data Scientist,Mid,97672,88,No,9,55
2011,India,IBM,Backend Developer,Junior,10456,56,No,10,55
2019,Germany,IBM,Data Scientist,Junior,94341,91,Yes,5,39
2011,Canada,Accenture,Frontend Developer,Mid,87004,90,No,6,50
2011,USA,Infosys,Data Scientist,Mid,128724,54,Yes,6,53
2019,UK,Microsoft,Full Stack Developer,Junior,101174,54,No,10,55
2015,Germany,Microsoft,Data Scientist,Senior,92313,75,No,10,45
2013,India,Microsoft,Mobile Developer,Mid,21623,72,Yes,8,41
2017,Germany,TCS,Mobile Developer,Senior,85433,76,Yes,7,46
2017,Canada,IBM,Full Stack Developer,Senior,87044,53,No,5,54
2017,UK,IBM,Mobile Developer,Junior,95258,81,Yes,10,39
2011,Canada,Netflix,Mobile Developer,Mid,86490,56,No,10,51
2017,UK,Wipro,Data Scientist,Mid,102103,55,No,10,54
2013,Australia,Amazon,Backend Developer,Junior,70758,76,No,7,51
2017,Germany,Infosys,Mobile Developer,Mid,106376,53,No,7,52
2019,Canada,Google,Frontend Developer,Senior,97081,74,Yes,6,44
2011,India,Amazon,Backend Developer,Senior,16501,60,No,6,43
2011,Australia,Accenture,Mobile Developer,Mid,84015,84,Yes,5,52
2015,India,Wipro,Frontend Developer,Senior,31943,64,No,9,38
2015,USA,Microsoft,Backend Developer,Junior,117414,93,No,9,51
2011,Australia,Wipro,Backend Developer,Junior,73714,71,No,8,46
2011,Canada,Amazon,Data Scientist,Senior,67825,72,No,8,51
2013,Germany,IBM,Backend Developer,Mid,87260,74,Yes,8,44
2011,India,IBM,Full Stack Developer,Senior,8458,95,No,10,50
2017,India,Wipro,Backend Developer,Senior,38092,83,Yes,5,37
2011,India,Infosys,Full Stack Developer,Junior,22448,95,Yes,9,51
2015,Canada,Wipro,Data Scientist,Mid,71709,85,No,5,39
2011,USA,Amazon,Full Stack Developer,Mid,118864,65,No,8,38
2017,India,Google,Backend Developer,Mid,37922,61,No,7,48
2011,Germany,Amazon,Backend Developer,Junior,73933,55,No,8,55
2017,USA,Accenture,Mobile Developer,Senior,87878,82,No,9,51
2011,UK,TCS,Data Scientist,Mid,74148,95,No,6,35
2017,India,Netflix,Frontend Developer,Mid,24991,51,No,6,38
2013,USA,Meta,Full Stack Developer,Mid,86021,76,Yes,5,36
2013,Australia,IBM,Data Scientist,Junior,101788,87,No,7,55
2011,India,TCS,Full Stack Developer,Junior,22497,93,No,10,35
2015,USA,Accenture,Backend Developer,Senior,111764,68,Yes,7,37
2011,Australia,TCS,Full Stack Developer,Senior,69232,87,Yes,9,55
2015,UK,Meta,Data Scientist,Senior,79544,68,Yes,8,42
2015,Germany,IBM,Backend Developer,Junior,78447,75,Yes,6,39
2011,Canada,Infosys,Full Stack Developer,Mid,69608,79,Yes,7,39
2011,India,IBM,Mobile Developer,Senior,21845,66,No,6,50
2013,Canada,Meta,Mobile Developer,Junior,74579,76,No,10,45
2011,UK,Meta,Full Stack Developer,Mid,87912,72,No,6,38
2011,Canada,Infosys,Data Scientist,Mid,69606,94,Yes,7,48
2015,India,IBM,Data Scientist,Junior,26945,91,No,9,55
2019,Canada,TCS,Data Scientist,Mid,80018,52,No,6,53
2011,USA,Infosys,Backend Developer,Mid,105544,50,Yes,7,50
2015,USA,Google,Frontend Developer,Mid,114744,79,No,8,39
2017,Canada,Netflix,Data Scientist,Junior,86426,67,No,5,44
2013,India,Meta,Full Stack Developer,Senior,27128,94,No,5,38
2019,India,Infosys,Backend Developer,Junior,30705,66,Yes,10,53
2011,Australia,Wipro,Data Scientist,Mid,77135,57,No,10,48
2013,India,Amazon,Backend Developer,Mid,28891,78,Yes,7,50
2017,Germany,Netflix,Data Scientist,Mid,107651,92,No,7,40
2015,Canada,Microsoft,Data Scientist,Junior,103154,74,No,8,47
2013,USA,Meta,Data Scientist,Mid,87108,83,No,10,41
2013,Canada,Amazon,Mobile Developer,Senior,65587,90,Yes,5,37
2013,India,Wipro,Mobile Developer,Junior,26529,76,Yes,10,35
2017,India,Accenture,Data Scientist,Junior,27652,76,Yes,9,54
2013,Germany,Wipro,Data Scientist,Senior,73000,70,No,5,54
2013,UK,Amazon,Full Stack Developer,Junior,57466,81,No,5,48
2013,UK,Amazon,Full Stack Developer,Senior,84505,83,No,5,47
2013,Canada,Wipro,Data Scientist,Junior,71514,83,No,5,42
2011,India,IBM,Full Stack Developer,Mid,17298,75,No,10,46
2011,UK,Wipro,Mobile Developer,Senior,86745,63,No,9,40
2015,UK,TCS,Full Stack Developer,Senior,85027,92,No,9,53
2011,Australia,Meta,Backend Developer,Junior,65094,52,Yes,7,42
2013,Germany,Netflix,Data Scientist,Junior,84629,59,No,9,45
2015,Germany,IBM,Backend Developer,Senior,77105,72,Yes,6,47
2011,UK,TCS,Frontend Developer,Junior,53608,73,Yes,7,35
2013,Canada,Microsoft,Backend Developer,Senior,89031,92,Yes,8,44
2017,Australia,Google,Mobile Developer,Senior,106114,50,No,5,43
2015,USA,TCS,Full Stack Developer,Junior,117088,91,No,8,45
2017,UK,Infosys,Mobile Developer,Senior,93037,85,Yes,5,44
2011,Australia,Wipro,Backend Developer,Junior,93170,56,Yes,8,37
2013,India,Infosys,Backend Developer,Mid,19059,59,Yes,8,36
2017,Australia,Accenture,Full Stack Developer,Senior,109232,94,Yes,10,38
2017,India,Meta,Mobile Developer,Junior,39869,52,No,5,54
2017,Germany,Infosys,Data Scientist,Senior,87039,84,No,5,52
2019,India,Infosys,Full Stack Developer,Senior,29499,68,Yes,9,38
2015,UK,Google,Data Scientist,Junior,86024,63,Yes,9,45
2013,Australia,IBM,Full Stack Developer,Junior,85078,54,No,6,49
2017,India,TCS,Frontend Developer,Mid,31805,50,No,10,54
2011,Germany,IBM,Backend Developer,Senior,74845,78,Yes,8,36
2017,India,TCS,Full Stack Developer,Junior,38439,80,No,8,52
2011,Germany,Netflix,Mobile Developer,Junior,68335,90,No,6,49
2015,Canada,Accenture,Mobile Developer,Mid,94034,77,No,7,51
2019,UK,Accenture,Mobile Developer,Mid,106072,53,Yes,5,36
2011,Germany,TCS,Full Stack Developer,Mid,92427,86,No,7,42
2019,Germany,Accenture,Data Scientist,Junior,80924,84,No,10,52
2013,USA,Meta,Frontend Developer,Junior,91510,84,No,6,43
2015,India,IBM,Full Stack Developer,Senior,26195,94,Yes,10,40
2017,Germany,Amazon,Full Stack Developer,Senior,98216,70,No,7,48
2013,Canada,Google,Mobile Developer,Senior,82679,77,No,10,43
2017,Australia,Microsoft,Data Scientist,Mid,113815,69,No,10,37
2017,Canada,Microsoft,Mobile Developer,Junior,92491,66,Yes,8,54
2011,Australia,Amazon,Frontend Developer,Mid,72227,91,No,9,39
2013,Australia,Accenture,Frontend Developer,Junior,93355,75,No,9,54
2017,Germany,Accenture,Frontend Developer,Mid,83300,77,Yes,8,48
2019,Germany,Microsoft,Full Stack Developer,Mid,86439,88,No,7,43
2011,Germany,Accenture,Full Stack Developer,Junior,95770,59,No,8,44
2017,India,Accenture,Mobile Developer,Junior,35409,52,Yes,7,52
2019,Germany,Amazon,Backend Developer,Mid,112333,89,Yes,6,50
2011,Canada,TCS,Frontend Developer,Junior,93980,95,Yes,6,50
2019,UK,Netflix,Full Stack Developer,Mid,79435,81,Yes,6,53
2015,India,Google,Frontend Developer,Senior,33770,83,No,7,39
2011,Germany,Meta,Data Scientist,Senior,95874,95,Yes,7,53
2019,Germany,Amazon,Frontend Developer,Mid,104111,91,Yes,9,41
2011,Germany,TCS,Mobile Developer,Junior,85033,73,No,7,41
2015,India,Wipro,Backend Developer,Mid,23936,51,Yes,6,48
2013,Australia,Wipro,Mobile Developer,Junior,96312,80,No,6,48
2015,Australia,Infosys,Data Scientist,Senior,83917,52,Yes,9,40
2011,Germany,Meta,Frontend Developer,Junior,65416,53,No,7,47
2019,Australia,Accenture,Backend Developer,Mid,100997,66,No,5,49
2013,USA,Microsoft,Frontend Developer,Senior,91472,85,Yes,7,41
2013,UK,IBM,Mobile Developer,Mid,79831,65,No,6,53
2011,Canada,Microsoft,Full Stack Developer,Senior,63724,76,Yes,7,53
2013,UK,Wipro,Mobile Developer,Senior,81569,78,No,10,46
2015,UK,Google,Full Stack Developer,Mid,70843,93,No,10,36
2011,USA,Accenture,Backend Developer,Junior,75582,77,Yes,7,39
2013,USA,Amazon,Data Scientist,Mid,106310,77,Yes,7,53
2013,Canada,Infosys,Frontend Developer,Senior,72242,65,No,5,54
2015,India,Meta,Backend Developer,Mid,24679,61,No,9,51
2017,UK,Microsoft,Full Stack Developer,Junior,98700,54,Yes,6,35
2011,Germany,Meta,Frontend Developer,Senior,64649,71,No,8,48
2017,Australia,Wipro,Data Scientist,Mid,109167,78,No,7,52
2011,Canada,Accenture,Frontend Developer,Senior,78050,88,No,7,38
2015,Germany,Accenture,Full Stack Developer,Senior,91756,80,No,5,51
2019,Germany,IBM,Data Scientist,Mid,94519,84,No,10,44
2019,Germany,IBM,Mobile Developer,Mid,98520,73,No,10,53
2017,Germany,Meta,Data Scientist,Senior,96061,55,Yes,5,36
2015,Canada,Meta,Data Scientist,Senior,74909,57,No,5,47
2015,India,Accenture,Full Stack Developer,Mid,25437,83,No,10,38
2019,UK,TCS,Backend Developer,Mid,84616,56,Yes,6,50
2011,Australia,Meta,Data Scientist,Senior,73905,71,No,8,41
2017,India,Netflix,Backend Developer,Mid,30952,54,No,8,46
2019,Germany,Netflix,Full Stack Developer,Mid,88319,53,No,10,46
2019,UK,Netflix,Mobile Developer,Mid,99267,71,No,6,53
2015,Australia,Microsoft,Mobile Developer,Senior,82916,69,Yes,7,54
2017,UK,Meta,Frontend Developer,Senior,65362,61,Yes,5,53
2019,Germany,Infosys,Data Scientist,Junior,95651,66,No,9,54
2019,Canada,Amazon,Frontend Developer,Junior,111739,59,No,6,48
2019,Canada,Infosys,Full Stack Developer,Junior,94636,93,No,5,53
2013,Germany,Netflix,Frontend Developer,Mid,94625,76,No,7,35
2017,Australia,Wipro,Frontend Developer,Senior,80078,69,Yes,9,55
2013,Germany,Accenture,Mobile Developer,Junior,91427,84,No,9,44
2019,Australia,Wipro,Data Scientist,Senior,109790,88,No,5,37
2019,USA,Meta,Frontend Developer,Junior,139138,74,No,7,54
2013,USA,Amazon,Data Scientist,Mid,114075,95,Yes,7,47
2017,UK,Microsoft,Backend Developer,Senior,74479,75,Yes,10,52
2019,Australia,Wipro,Frontend Developer,Mid,111241,54,No,9,55
2019,USA,Netflix,Data Scientist,Junior,132411,71,Yes,7,36
2013,USA,Wipro,Data Scientist,Senior,101471,50,Yes,8,52
2011,UK,Netflix,Data Scientist,Mid,56768,71,No,8,40
2019,Canada,Google,Mobile Developer,Mid,81507,71,Yes,7,41
2013,Canada,IBM,Frontend Developer,Mid,94305,83,No,5,43
2013,Canada,IBM,Mobile Developer,Mid,98689,61,No,7,45
2017,UK,Wipro,Backend Developer,Senior,85306,60,No,5,53
2019,Germany,TCS,Mobile Developer,Senior,102536,90,Yes,8,39
2013,UK,Google,Mobile Developer,Junior,55700,79,No,5,44
2017,USA,Netflix,Full Stack Developer,Senior,98081,92,Yes,8,38
2019,India,TCS,Full Stack Developer,Senior,30910,90,No,10,39
2019,Germany,Amazon,Backend Developer,Senior,87065,58,Yes,8,41
2017,Australia,TCS,Backend Developer,Mid,101593,88,No,9,40
2019,India,Amazon,Data Scientist,Mid,32790,88,No,7,35
2011,Canada,Microsoft,Mobile Developer,Senior,92084,53,No,5,46
2015,India,Google,Data Scientist,Senior,22606,83,No,7,48
2019,USA,Microsoft,Full Stack Developer,Junior,125981,71,Yes,10,40
2019,Australia,IBM,Full Stack Developer,Mid,117226,70,No,9,52
2015,Canada,Netflix,Full Stack Developer,Mid,94823,67,No,10,46
2013,UK,Google,Data Scientist,Junior,87663,95,No,8,36
2011,Canada,Google,Frontend Developer,Junior,66622,51,Yes,7,40
2019,Australia,Amazon,Full Stack Developer,Junior,107172,72,No,6,47
2015,India,Meta,Backend Developer,Junior,20801,93,Yes,10,52
2015,Canada,IBM,Data Scientist,Junior,87141,87,Yes,7,39
2013,Canada,Infosys,Frontend Developer,Mid,80430,51,Yes,8,54
2013,UK,Google,Mobile Developer,Junior,67650,72,Yes,6,53
2019,Australia,Wipro,Data Scientist,Senior,105544,76,Yes,8,54
2011,Canada,IBM,Data Scientist,Mid,74005,53,Yes,10,54
2013,UK,IBM,Data Scientist,Junior,90062,77,Yes,7,46
2015,UK,Meta,Backend Developer,Senior,72377,91,No,5,39
2019,UK,TCS,Full Stack Developer,Junior,77983,82,No,5,40
2015,UK,Wipro,Frontend Developer,Senior,60629,84,Yes,6,39
2013,India,Wipro,Frontend Developer,Mid,15128,72,Yes,5,44
2017,USA,Wipro,Data Scientist,Junior,144073,86,Yes,7,40
2015,Australia,Microsoft,Mobile Developer,Senior,104937,95,Yes,6,55
2013,UK,Microsoft,Mobile Developer,Mid,75666,76,No,9,45
2017,USA,Google,Mobile Developer,Mid,125183,83,No,8,52
2011,UK,Microsoft,Mobile Developer,Mid,65630,90,Yes,7,54
2015,Australia,Accenture,Data Scientist,Junior,89374,73,No,6,50
2019,Germany,TCS,Full Stack Developer,Junior,113930,79,No,8,36
2019,Australia,IBM,Data Scientist,Senior,103309,87,Yes,5,53
2019,Canada,TCS,Full Stack Developer,Junior,109075,83,No,9,51
2017,India,Netflix,Mobile Developer,Senior,35919,65,Yes,5,43
2011,UK,Meta,Full Stack Developer,Mid,52593,61,Yes,10,46
2013,India,Meta,Full Stack Developer,Senior,29656,67,Yes,9,48
2019,UK,Meta,Data Scientist,Junior,92512,95,No,6,47
2019,Canada,Netflix,Mobile Developer,Mid,113921,63,Yes,6,47
