Year,Country,Company,Developer_Type,Experience_Level,Avg_Salary_USD,Requirement_Rate,Covid_Phase,Layoff_Risk,Remote_Work_Percentage,Job_Satisfaction,Work_Hours_Per_Week
2021,India,TCS,Data Scientist,Mid,13775,100,Recovery,Low,68,10,50
2019,India,Wipro,Data Scientist,Junior,16598,84,Pre-Covid,Low,29,8,45
2021,Germany,TCS,Frontend Developer,Junior,111590,83,Recovery,Medium,65,10,47
2021,Germany,Wipro,Backend Developer,Junior,101258,92,Recovery,Low,80,10,40
2021,UK,Wipro,Mobile Developer,Junior,119180,72,Recovery,Medium,74,8,40
2019,USA,Accenture,Backend Developer,Mid,132471,86,Pre-Covid,Low,29,5,43
2019,Germany,Meta,Data Scientist,Mid,74792,69,Pre-Covid,Low,35,5,35
2021,Germany,TCS,Frontend Developer,Mid,118919,100,Recovery,Medium,88,10,40
2019,UK,Microsoft,Backend Developer,Junior,59896,78,Pre-Covid,Low,28,7,45
2021,Canada,Wipro,Frontend Developer,Junior,104882,100,Recovery,Medium,82,7,40
2020,USA,Microsoft,Mobile Developer,Senior,107640,63,Lockdown,Medium,72,8,54
2020,Germany,Meta,Full Stack Developer,Mid,59034,50,Lockdown,Medium,83,6,35
2021,USA,IBM,Full Stack Developer,Junior,122951,100,Recovery,Medium,62,8,55
2019,Canada,Accenture,Backend Developer,Senior,89634,65,Pre-Covid,Low,11,9,39
2020,USA,Wipro,Mobile Developer,Mid,75243,38,Lockdown,High,95,10,46
2019,Australia,TCS,Full Stack Developer,Junior,80827,71,Pre-Covid,Low,18,7,51
2020,India,Wipro,Frontend Developer,Senior,9243,42,Lockdown,High,90,6,51
2021,India,Accenture,Backend Developer,Senior,22834,100,Recovery,Low,68,9,53
2021,Germany,Netflix,Mobile Developer,Mid,113722,80,Recovery,Low,69,8,37
2021,Canada,IBM,Backend Developer,Junior,93712,100,Recovery,Medium,75,6,50
2021,Canada,Wipro,Data Scientist,Senior,96479,71,Recovery,Low,72,8,55
2019,Germany,TCS,Data Scientist,Senior,104857,87,Pre-Covid,Low,30,9,39
2021,India,Amazon,Data Scientist,Junior,13080,94,Recovery,Medium,80,5,41
2019,Canada,TCS,Data Scientist,Senior,67798,80,Pre-Covid,Low,12,7,47
2020,Canada,Meta,Mobile Developer,Junior,75584,55,Lockdown,Medium,73,7,41
2020,Germany,Microsoft,Full Stack Developer,Senior,56824,71,Lockdown,Medium,79,7,42
2019,Canada,Accenture,Data Scientist,Junior,66197,71,Pre-Covid,Low,22,10,48
2021,Australia,Microsoft,Full Stack Developer,Mid,94684,78,Recovery,Medium,65,9,55
2021,USA,IBM,Backend Developer,Senior,156545,87,Recovery,Low,87,7,52
2021,USA,Microsoft,Full Stack Developer,Mid,140392,88,Recovery,Low,62,5,38
2019,India,Wipro,Mobile Developer,Junior,18906,66,Pre-Covid,Low,23,7,53
2019,UK,Infosys,Full Stack Developer,Mid,58903,63,Pre-Covid,Low,17,7,47
2019,Australia,Microsoft,Mobile Developer,Mid,71521,89,Pre-Covid,Low,30,9,51
2021,UK,Microsoft,Full Stack Developer,Mid,89274,84,Recovery,Low,73,5,42
2019,USA,IBM,Frontend Developer,Junior,82973,76,Pre-Covid,Low,20,7,44
2020,Australia,Infosys,Data Scientist,Senior,82384,52,Lockdown,High,74,6,39
2021,Australia,Netflix,Backend Developer,Senior,100842,100,Recovery,Low,77,8,37
2020,Canada,Google,Full Stack Developer,Junior,72097,75,Lockdown,Medium,94,7,49
2019,USA,IBM,Data Scientist,Junior,128305,95,Pre-Covid,Low,12,7,45
2020,USA,Google,Frontend Developer,Senior,77021,51,Lockdown,Medium,77,5,49
2019,India,Google,Data Scientist,Mid,25533,94,Pre-Covid,Low,26,10,50
2021,UK,Google,Backend Developer,Junior,98208,79,Recovery,Medium,62,5,35
2021,USA,Netflix,Full Stack Developer,Mid,150494,100,Recovery,Medium,70,8,45
2021,Australia,Microsoft,Frontend Developer,Junior,127890,85,Recovery,Medium,79,8,54
2021,Germany,Wipro,Backend Developer,Mid,100298,90,Recovery,Medium,84,7,48
2020,Canada,Wipro,Frontend Developer,Mid,61040,58,Lockdown,Medium,87,8,55
2019,India,Accenture,Data Scientist,Mid,16559,60,Pre-Covid,Low,12,9,48
2021,UK,TCS,Frontend Developer,Junior,96697,82,Recovery,Low,90,5,39
2019,UK,Amazon,Data Scientist,Senior,69922,74,Pre-Covid,Low,22,7,47
2021,Australia,Netflix,Frontend Developer,Mid,136700,83,Recovery,Low,84,10,54
2019,USA,Wipro,Backend Developer,Mid,125283,69,Pre-Covid,Low,20,6,51
2019,USA,Google,Backend Developer,Junior,102857,87,Pre-Covid,Low,16,6,46
2021,Germany,IBM,Backend Developer,Senior,111231,85,Recovery,Medium,72,6,39
2020,UK,Microsoft,Full Stack Developer,Junior,70563,64,Lockdown,Medium,76,10,42
2020,UK,Netflix,Data Scientist,Senior,49954,61,Lockdown,High,72,6,40
2021,Canada,Microsoft,Full Stack Developer,Senior,106542,80,Recovery,Low,67,10,46
2020,Canada,IBM,Data Scientist,Mid,59675,65,Lockdown,Medium,91,7,49
2019,UK,Microsoft,Full Stack Developer,Junior,66769,74,Pre-Covid,Low,26,6,52
2020,UK,Wipro,Data Scientist,Junior,46203,52,Lockdown,Medium,86,6,45
2020,Australia,Amazon,Full Stack Developer,Junior,69464,46,Lockdown,Medium,86,9,39
2020,Canada,Accenture,Mobile Developer,Mid,57332,63,Lockdown,High,86,8,36
2020,Australia,Amazon,Data Scientist,Junior,75672,71,Lockdown,Medium,94,6,45
2020,India,Meta,Mobile Developer,Mid,19015,63,Lockdown,High,80,10,42
2021,Australia,TCS,Backend Developer,Mid,86948,83,Recovery,Medium,81,8,43
2020,Canada,Netflix,Mobile Developer,Junior,58036,53,Lockdown,High,84,8,46
2021,Canada,Netflix,Mobile Developer,Senior,102668,100,Recovery,Medium,85,6,48
2021,Australia,TCS,Backend Developer,Senior,94908,100,Recovery,Medium,81,8,44
2021,UK,Wipro,Backend Developer,Senior,100776,88,Recovery,Medium,67,5,40
2020,UK,Wipro,Backend Developer,Junior,82727,68,Lockdown,High,93,10,39
2021,Australia,Amazon,Backend Developer,Junior,132316,86,Recovery,Medium,72,9,37
2021,Australia,Amazon,Data Scientist,Junior,111959,88,Recovery,Medium,63,9,51
2020,Canada,Google,Backend Developer,Junior,64906,66,Lockdown,High,74,8,35
2021,India,Meta,Backend Developer,Mid,14974,100,Recovery,Low,87,7,44
2021,UK,Accenture,Backend Developer,Junior,74735,86,Recovery,Medium,68,9,40
2020,USA,Accenture,Mobile Developer,Junior,121028,63,Lockdown,High,83,5,36
2021,USA,Microsoft,Data Scientist,Junior,150670,100,Recovery,Medium,81,10,39
2019,USA,Microsoft,Full Stack Developer,Mid,122564,63,Pre-Covid,Low,16,7,43
2020,India,Meta,Data Scientist,Mid,17516,47,Lockdown,Medium,90,9,46
2020,Australia,Microsoft,Mobile Developer,Junior,68612,79,Lockdown,Medium,81,8,46
2019,Germany,Wipro,Backend Developer,Junior,77196,65,Pre-Covid,Low,15,10,42
2021,Australia,Wipro,Backend Developer,Junior,111029,100,Recovery,Medium,79,10,50
2019,Canada,Infosys,Full Stack Developer,Mid,97369,62,Pre-Covid,Low,17,5,53
2020,India,Microsoft,Full Stack Developer,Mid,15764,59,Lockdown,High,74,10,48
2021,USA,TCS,Frontend Developer,Mid,141362,83,Recovery,Low,70,10,52
2019,Canada,Microsoft,Data Scientist,Junior,75448,77,Pre-Covid,Low,17,9,51
2021,Canada,IBM,Full Stack Developer,Junior,118040,76,Recovery,Low,67,9,48
2020,Australia,Infosys,Data Scientist,Junior,74546,48,Lockdown,High,72,9,35
2020,India,Netflix,Mobile Developer,Mid,18570,47,Lockdown,High,76,9,49
2020,UK,IBM,Full Stack Developer,Mid,66504,60,Lockdown,High,86,9,52
2021,USA,Microsoft,Data Scientist,Senior,142096,83,Recovery,Medium,66,5,42
2021,Canada,Google,Full Stack Developer,Junior,93566,99,Recovery,Medium,66,9,50
2021,India,Infosys,Frontend Developer,Senior,37808,100,Recovery,Medium,61,6,36
2021,Australia,Microsoft,Data Scientist,Junior,114120,100,Recovery,Low,79,10,50
2020,Canada,Meta,Backend Developer,Mid,71510,64,Lockdown,Medium,74,5,48
2019,Canada,Meta,Data Scientist,Mid,93714,75,Pre-Covid,Low,26,9,55
2021,Germany,Netflix,Frontend Developer,Junior,96662,100,Recovery,Medium,68,10,50
2020,Australia,TCS,Mobile Developer,Junior,81743,53,Lockdown,High,70,8,39
2019,UK,Google,Mobile Developer,Senior,68035,87,Pre-Covid,Low,19,9,41
2021,India,Infosys,Mobile Developer,Senior,16684,100,Recovery,Medium,88,5,35
2019,Germany,Meta,Data Scientist,Mid,102529,88,Pre-Covid,Low,15,9,43
2019,Canada,Amazon,Full Stack Developer,Senior,90131,91,Pre-Covid,Low,31,5,45
2020,Australia,Infosys,Frontend Developer,Mid,76116,67,Lockdown,High,81,7,42
2021,Germany,Meta,Full Stack Developer,Junior,95154,95,Recovery,Low,81,8,37
2019,Australia,Infosys,Mobile Developer,Junior,89722,60,Pre-Covid,Low,16,7,40
2021,Canada,Netflix,Full Stack Developer,Mid,110984,100,Recovery,Medium,70,9,49
2021,UK,Meta,Backend Developer,Senior,117205,100,Recovery,Low,73,9,53
2019,Germany,Meta,Data Scientist,Junior,108851,81,Pre-Covid,Low,24,9,40
2020,Australia,Wipro,Mobile Developer,Mid,76232,64,Lockdown,Medium,89,8,37
2021,UK,Netflix,Backend Developer,Mid,95740,98,Recovery,Medium,61,5,47
2020,Australia,Amazon,Mobile Developer,Mid,78075,55,Lockdown,High,75,8,35
2020,USA,TCS,Full Stack Developer,Mid,68972,56,Lockdown,Medium,70,6,55
2019,Canada,IBM,Mobile Developer,Mid,72072,77,Pre-Covid,Low,20,5,35
2019,Germany,IBM,Full Stack Developer,Junior,102099,61,Pre-Covid,Low,32,9,54
2020,India,Meta,Mobile Developer,Senior,8543,58,Lockdown,Medium,87,6,36
2021,Canada,Netflix,Frontend Developer,Junior,99447,100,Recovery,Medium,80,5,35
2019,Germany,Netflix,Mobile Developer,Junior,109799,67,Pre-Covid,Low,23,10,37
2020,UK,Meta,Backend Developer,Senior,53676,57,Lockdown,High,88,7,49
2020,Australia,Infosys,Mobile Developer,Senior,85726,61,Lockdown,High,90,6,42
2020,India,Meta,Data Scientist,Senior,21691,66,Lockdown,Medium,91,7,35
2019,Germany,Microsoft,Frontend Developer,Senior,98616,63,Pre-Covid,Low,18,8,52
2020,USA,Netflix,Backend Developer,Senior,70470,65,Lockdown,Medium,75,10,37
2020,UK,Infosys,Frontend Developer,Mid,76671,79,Lockdown,High,85,7,39
2021,Germany,Netflix,Data Scientist,Mid,105234,100,Recovery,Low,77,10,36
2020,UK,Meta,Mobile Developer,Junior,56153,43,Lockdown,High,79,10,42
2020,Germany,TCS,Backend Developer,Mid,78386,62,Lockdown,Medium,84,6,54
2021,Canada,Meta,Full Stack Developer,Junior,102048,79,Recovery,Low,83,5,55
2021,Australia,TCS,Full Stack Developer,Senior,93409,100,Recovery,Low,67,7,35
2021,Australia,Netflix,Full Stack Developer,Junior,104426,86,Recovery,Low,80,6,50
2021,Germany,Meta,Data Scientist,Mid,114026,76,Recovery,Medium,76,10,38
2020,UK,Accenture,Full Stack Developer,Junior,56577,45,Lockdown,Medium,73,10,52
2021,UK,Wipro,Frontend Developer,Senior,98920,90,Recovery,Low,72,8,36
2019,India,Wipro,Mobile Developer,Senior,10363,74,Pre-Covid,Low,18,9,45
2021,Australia,Amazon,Mobile Developer,Senior,94431,98,Recovery,Medium,73,7,38
2019,India,TCS,Data Scientist,Mid,16314,64,Pre-Covid,Low,10,7,53
2021,Australia,Wipro,Backend Developer,Junior,110085,87,Recovery,Low,61,6,43
2019,India,Meta,Mobile Developer,Mid,24379,76,Pre-Covid,Low,29,6,48
2019,USA,TCS,Data Scientist,Mid,82384,61,Pre-Covid,Low,14,8,49
2021,Australia,Accenture,Backend Developer,Junior,103279,100,Recovery,Medium,89,10,52
2020,India,Amazon,Frontend Developer,Senior,11800,76,Lockdown,Medium,87,9,46
2020,India,Accenture,Frontend Developer,Mid,20272,73,Lockdown,High,93,7,50
2019,India,Meta,Data Scientist,Junior,23165,89,Pre-Covid,Low,11,7,36
2021,Germany,Infosys,Data Scientist,Junior,108468,85,Recovery,Low,83,8,44
2019,Australia,Wipro,Data Scientist,Mid,91551,84,Pre-Covid,Low,20,6,55
2021,USA,Microsoft,Data Scientist,Senior,117682,94,Recovery,Medium,66,6,39
2019,Canada,Infosys,Backend Developer,Senior,77548,79,Pre-Covid,Low,12,9,54
2020,USA,Amazon,Data Scientist,Senior,89460,63,Lockdown,High,91,9,41
2021,Australia,Meta,Frontend Developer,Senior,93528,100,Recovery,Medium,87,6,39
2020,Australia,Wipro,Full Stack Developer,Mid,57723,42,Lockdown,Medium,77,8,48
2021,USA,Meta,Frontend Developer,Mid,156849,89,Recovery,Low,60,6,38
2020,UK,Google,Mobile Developer,Senior,62400,42,Lockdown,Medium,73,6,35
2020,India,Infosys,Data Scientist,Junior,9736,35,Lockdown,High,71,5,50
2019,USA,Infosys,Backend Developer,Junior,131746,80,Pre-Covid,Low,19,6,44
2019,Canada,Netflix,Data Scientist,Junior,81565,87,Pre-Covid,Low,16,10,49
2021,USA,Accenture,Full Stack Developer,Senior,138412,89,Recovery,Medium,77,10,40
2019,Australia,Infosys,Backend Developer,Senior,108646,65,Pre-Covid,Low,35,10,52
2019,Australia,Accenture,Data Scientist,Junior,104874,62,Pre-Covid,Low,35,7,41
2020,Canada,Wipro,Mobile Developer,Junior,49906,54,Lockdown,High,85,8,54
2021,Australia,Meta,Full Stack Developer,Mid,94566,100,Recovery,Low,71,5,50
2020,UK,IBM,Full Stack Developer,Junior,51606,62,Lockdown,High,80,8,50
2020,USA,TCS,Full Stack Developer,Junior,109612,32,Lockdown,Medium,80,8,40
2020,Canada,IBM,Full Stack Developer,Senior,74207,39,Lockdown,High,85,8,49
2021,UK,IBM,Full Stack Developer,Junior,73481,97,Recovery,Medium,89,9,40
2020,Germany,Meta,Frontend Developer,Senior,64158,57,Lockdown,Medium,95,6,44
2020,India,Wipro,Full Stack Developer,Senior,23153,49,Lockdown,High,87,8,43
2019,India,Infosys,Data Scientist,Junior,18696,71,Pre-Covid,Low,28,9,40
2020,USA,Netflix,Backend Developer,Mid,92904,49,Lockdown,High,93,9,40
2020,USA,Accenture,Backend Developer,Mid,69548,31,Lockdown,Medium,76,9,46
2020,Germany,Wipro,Data Scientist,Junior,65659,33,Lockdown,Medium,95,5,40
2019,UK,Accenture,Backend Developer,Mid,81318,65,Pre-Covid,Low,11,9,52
2021,Canada,Google,Data Scientist,Junior,85297,82,Recovery,Low,70,7,54
2019,Germany,Google,Full Stack Developer,Junior,72979,73,Pre-Covid,Low,13,6,53
2020,USA,Google,Data Scientist,Mid,89262,42,Lockdown,High,88,7,49
2019,Canada,Google,Backend Developer,Junior,87051,62,Pre-Covid,Low,10,7,51
2021,Australia,TCS,Mobile Developer,Mid,116610,81,Recovery,Medium,78,10,44
2020,Canada,Amazon,Data Scientist,Senior,57960,59,Lockdown,Medium,92,10,54
2021,Australia,Microsoft,Data Scientist,Mid,125409,100,Recovery,Medium,84,7,53
2019,Canada,IBM,Frontend Developer,Senior,83506,78,Pre-Covid,Low,20,7,55
2020,UK,Microsoft,Data Scientist,Senior,49474,49,Lockdown,High,95,7,36
2020,UK,Meta,Mobile Developer,Junior,56807,59,Lockdown,Medium,80,9,42
2020,Canada,Meta,Data Scientist,Senior,76119,45,Lockdown,High,76,10,41
2019,UK,Meta,Backend Developer,Mid,93414,86,Pre-Covid,Low,11,6,35
2019,India,TCS,Full Stack Developer,Junior,14993,76,Pre-Covid,Low,24,8,45
2020,Germany,Accenture,Data Scientist,Senior,65314,68,Lockdown,High,84,5,55
2021,UK,Amazon,Mobile Developer,Senior,104444,100,Recovery,Low,77,8,42
2021,USA,Microsoft,Backend Developer,Mid,120142,100,Recovery,Medium,60,5,48
2019,India,Wipro,Data Scientist,Junior,26685,74,Pre-Covid,Low,33,7,41
2020,UK,Wipro,Mobile Developer,Mid,52980,32,Lockdown,High,88,9,35
2020,Australia,Infosys,Frontend Developer,Senior,82515,58,Lockdown,Medium,94,10,37
2021,USA,Google,Full Stack Developer,Mid,156763,92,Recovery,Low,62,9,48
2020,UK,Netflix,Backend Developer,Senior,62916,49,Lockdown,Medium,84,7,48
2019,USA,Meta,Frontend Developer,Mid,98837,70,Pre-Covid,Low,27,9,42
2021,Germany,Wipro,Frontend Developer,Senior,128107,100,Recovery,Medium,80,5,35
2021,India,Accenture,Frontend Developer,Senior,33652,100,Recovery,Medium,89,6,39
2021,USA,Wipro,Frontend Developer,Senior,95750,88,Recovery,Low,80,8,41
2021,Germany,Netflix,Frontend Developer,Senior,75806,93,Recovery,Medium,86,8,45
2020,UK,Infosys,Data Scientist,Junior,55757,38,Lockdown,High,84,5,45
2020,USA,Google,Backend Developer,Senior,90914,35,Lockdown,High,88,8,53
2019,USA,Accenture,Mobile Developer,Mid,103488,72,Pre-Covid,Low,19,10,37
2019,India,Infosys,Data Scientist,Junior,22066,90,Pre-Covid,Low,30,8,43
2019,India,Wipro,Backend Developer,Mid,20998,87,Pre-Covid,Low,22,10,38
2020,Canada,Microsoft,Mobile Developer,Mid,83957,65,Lockdown,High,93,7,43
2020,USA,Wipro,Frontend Developer,Mid,107731,76,Lockdown,High,71,8,49
2019,UK,Google,Data Scientist,Senior,65458,61,Pre-Covid,Low,33,10,45
2019,India,Meta,Mobile Developer,Mid,23643,77,Pre-Covid,Low,19,8,52
2019,UK,Meta,Frontend Developer,Mid,78688,90,Pre-Covid,Low,35,9,46
2020,India,Microsoft,Mobile Developer,Mid,24066,44,Lockdown,High,89,10,52
2020,India,Google,Data Scientist,Junior,13490,43,Lockdown,High,94,9,36
2021,Australia,Microsoft,Full Stack Developer,Junior,97523,76,Recovery,Low,73,5,40
2021,India,Netflix,Frontend Developer,Senior,22235,84,Recovery,Low,67,9,38
2020,India,Netflix,Full Stack Developer,Senior,15555,50,Lockdown,High,73,7,43
2019,Canada,Microsoft,Backend Developer,Senior,81817,85,Pre-Covid,Low,21,5,46
2020,UK,Microsoft,Mobile Developer,Senior,43334,70,Lockdown,Medium,79,5,52
2019,USA,Meta,Mobile Developer,Senior,133554,67,Pre-Covid,Low,10,5,42
2020,India,Amazon,Backend Developer,Mid,22697,59,Lockdown,High,92,5,54
2020,USA,Meta,Full Stack Developer,Mid,101671,35,Lockdown,High,72,5,43
2020,Germany,Meta,Full Stack Developer,Mid,86408,57,Lockdown,Medium,77,7,48
2021,Germany,Netflix,Frontend Developer,Mid,72994,100,Recovery,Medium,66,10,40
2020,India,Meta,Backend Developer,Mid,10184,67,Lockdown,Medium,94,9,39
2021,Germany,Infosys,Full Stack Developer,Mid,119382,97,Recovery,Medium,61,5,40
2019,USA,Google,Data Scientist,Junior,116681,85,Pre-Covid,Low,27,6,45
2019,India,Accenture,Data Scientist,Senior,28269,73,Pre-Covid,Low,34,10,43
2019,USA,IBM,Data Scientist,Junior,137219,77,Pre-Covid,Low,29,7,35
2020,Germany,IBM,Mobile Developer,Junior,68333,75,Lockdown,High,89,8,47
2020,Canada,Amazon,Data Scientist,Mid,63367,44,Lockdown,Medium,83,5,48
2021,UK,TCS,Data Scientist,Senior,82689,83,Recovery,Low,73,5,49
2021,India,Accenture,Frontend Developer,Senior,21726,97,Recovery,Medium,83,10,55
2021,India,Meta,Data Scientist,Senior,28534,86,Recovery,Low,60,7,45
2019,Canada,TCS,Full Stack Developer,Senior,89428,70,Pre-Covid,Low,23,5,44
2020,Canada,IBM,Data Scientist,Mid,59555,76,Lockdown,Medium,91,5,35
2019,Canada,Amazon,Backend Developer,Mid,70089,90,Pre-Covid,Low,28,9,52
2021,UK,Netflix,Data Scientist,Mid,83798,100,Recovery,Medium,66,10,52
2019,USA,Accenture,Frontend Developer,Mid,128063,60,Pre-Covid,Low,16,5,49
2020,USA,Microsoft,Full Stack Developer,Junior,93885,62,Lockdown,High,72,10,47
2019,Canada,Netflix,Backend Developer,Junior,92476,68,Pre-Covid,Low,12,7,45
2019,Germany,TCS,Frontend Developer,Mid,81630,63,Pre-Covid,Low,34,10,52
2020,Australia,Netflix,Data Scientist,Junior,61783,65,Lockdown,Medium,73,10,37
2021,India,Google,Full Stack Developer,Mid,17625,77,Recovery,Medium,88,6,38
2020,India,Meta,Data Scientist,Mid,8566,51,Lockdown,Medium,95,5,38
2021,Germany,Meta,Backend Developer,Junior,87107,100,Recovery,Low,73,9,37
2021,USA,Infosys,Backend Developer,Junior,114715,89,Recovery,Medium,90,10,37
2021,Germany,Microsoft,Full Stack Developer,Senior,86857,89,Recovery,Low,68,7,46
2020,UK,Infosys,Backend Developer,Senior,45846,47,Lockdown,Medium,73,8,50
2020,UK,Wipro,Backend Developer,Junior,70284,47,Lockdown,High,82,6,35
2019,Australia,Meta,Frontend Developer,Junior,99994,61,Pre-Covid,Low,31,5,55
2020,Canada,Google,Full Stack Developer,Senior,87027,58,Lockdown,Medium,93,10,35
2020,India,IBM,Data Scientist,Mid,18791,57,Lockdown,High,84,8,45
2021,Canada,Microsoft,Mobile Developer,Senior,105678,100,Recovery,Medium,84,7,41
2021,Germany,Accenture,Backend Developer,Junior,104090,100,Recovery,Low,81,10,52
2021,India,Wipro,Frontend Developer,Mid,13116,87,Recovery,Medium,61,9,51
2020,USA,Microsoft,Data Scientist,Senior,109232,70,Lockdown,Medium,73,5,52
2020,Australia,IBM,Full Stack Developer,Senior,57431,43,Lockdown,Medium,80,7,39
2020,India,Netflix,Mobile Developer,Senior,21681,48,Lockdown,Medium,73,9,38
2020,Australia,Infosys,Mobile Developer,Junior,89272,45,Lockdown,High,89,10,47
2021,Canada,IBM,Frontend Developer,Mid,110107,100,Recovery,Low,88,6,48
2020,India,Infosys,Frontend Developer,Junior,20859,73,Lockdown,High,78,8,55
2020,UK,Google,Full Stack Developer,Mid,68333,49,Lockdown,Medium,90,7,41
2021,Germany,Wipro,Full Stack Developer,Junior,112167,79,Recovery,Medium,82,6,38
2019,Canada,Accenture,Mobile Developer,Senior,81476,73,Pre-Covid,Low,30,10,54
2021,USA,Microsoft,Frontend Developer,Mid,160369,100,Recovery,Low,89,9,48
2020,USA,Amazon,Mobile Developer,Senior,92603,45,Lockdown,High,71,10,39
2019,Germany,Netflix,Mobile Developer,Senior,88959,71,Pre-Covid,Low,10,10,46
2020,India,Wipro,Mobile Developer,Senior,8817,32,Lockdown,Medium,75,6,47
2020,India,Infosys,Data Scientist,Senior,13666,73,Lockdown,High,72,8,38
2021,USA,Google,Backend Developer,Mid,151672,100,Recovery,Medium,60,10,40
2020,Canada,Google,Frontend Developer,Mid,83412,64,Lockdown,Medium,93,9,41
2021,Canada,Meta,Mobile Developer,Junior,86919,100,Recovery,Low,75,8,55
2021,Canada,Wipro,Data Scientist,Junior,116301,100,Recovery,Medium,71,10,39
2021,Canada,Meta,Backend Developer,Senior,111985,94,Recovery,Medium,85,5,49
2020,Australia,Infosys,Full Stack Developer,Junior,54183,54,Lockdown,High,81,5,45
2019,Germany,Infosys,Full Stack Developer,Mid,99758,87,Pre-Covid,Low,11,5,55
2021,USA,Amazon,Mobile Developer,Mid,157999,97,Recovery,Low,77,6,54
2020,Canada,IBM,Data Scientist,Senior,69928,67,Lockdown,High,87,9,43
2021,Canada,Infosys,Full Stack Developer,Junior,101946,92,Recovery,Low,71,8,48
2021,UK,TCS,Backend Developer,Mid,103071,97,Recovery,Medium,74,9,45
2021,UK,Netflix,Data Scientist,Junior,107584,96,Recovery,Medium,80,10,49
2020,Germany,Meta,Data Scientist,Mid,82205,58,Lockdown,Medium,94,8,51
2021,India,TCS,Backend Developer,Mid,24741,77,Recovery,Medium,77,8,46
2021,USA,Google,Backend Developer,Mid,151967,89,Recovery,Medium,73,7,54
2019,Canada,TCS,Frontend Developer,Senior,70518,79,Pre-Covid,Low,15,5,40
2019,UK,Meta,Backend Developer,Mid,82441,68,Pre-Covid,Low,16,9,49
2021,Canada,Meta,Mobile Developer,Junior,96475,100,Recovery,Low,64,7,50
2019,Australia,Infosys,Frontend Developer,Senior,95578,91,Pre-Covid,Low,22,8,47
2021,Germany,Wipro,Frontend Developer,Junior,104946,78,Recovery,Low,69,10,49
2019,Germany,Wipro,Full Stack Developer,Junior,82915,64,Pre-Covid,Low,12,10,52
2020,India,Accenture,Backend Developer,Junior,8720,46,Lockdown,High,76,6,41
2019,Canada,Netflix,Full Stack Developer,Junior,84601,72,Pre-Covid,Low,26,10,41
2020,USA,TCS,Mobile Developer,Mid,96851,52,Lockdown,High,94,8,44
2021,India,IBM,Data Scientist,Junior,16700,86,Recovery,Low,67,6,38
2021,Germany,Wipro,Full Stack Developer,Mid,128918,99,Recovery,Low,79,10,54
2019,UK,Infosys,Frontend Developer,Junior,84945,76,Pre-Covid,Low,12,8,36
2019,Germany,Meta,Mobile Developer,Junior,88513,63,Pre-Covid,Low,10,9,38
2020,USA,Infosys,Mobile Developer,Mid,105564,60,Lockdown,High,88,5,52
2019,Germany,TCS,Frontend Developer,Junior,88345,95,Pre-Covid,Low,26,6,42
2021,UK,Netflix,Mobile Developer,Senior,107326,81,Recovery,Medium,75,10,47
2019,India,Microsoft,Backend Developer,Mid,10557,85,Pre-Covid,Low,33,7,37
2020,India,Wipro,Data Scientist,Senior,26240,39,Lockdown,High,76,6,53
2019,Germany,Microsoft,Backend Developer,Junior,84794,78,Pre-Covid,Low,19,10,37
2021,India,Google,Data Scientist,Senior,13151,100,Recovery,Low,63,10,47
2019,USA,IBM,Data Scientist,Mid,129157,62,Pre-Covid,Low,26,9,42
2020,Australia,TCS,Frontend Developer,Junior,73409,49,Lockdown,High,86,10,41
2020,Canada,Wipro,Data Scientist,Senior,76569,50,Lockdown,High,70,10,48
2019,India,IBM,Mobile Developer,Mid,15021,72,Pre-Covid,Low,31,9,41
2021,Germany,IBM,Backend Developer,Mid,93242,82,Recovery,Medium,82,5,39
2019,USA,Amazon,Mobile Developer,Mid,90877,65,Pre-Covid,Low,33,6,43
2020,Germany,Microsoft,Frontend Developer,Mid,63119,69,Lockdown,High,74,8,40
2021,Canada,Google,Mobile Developer,Senior,77671,97,Recovery,Low,63,6,42
2020,India,IBM,Frontend Developer,Junior,15106,41,Lockdown,High,93,9,52
2019,India,Accenture,Backend Developer,Senior,18422,83,Pre-Covid,Low,14,10,50
2021,UK,TCS,Data Scientist,Junior,85921,98,Recovery,Low,72,7,52
2020,India,Microsoft,Full Stack Developer,Mid,15620,41,Lockdown,High,78,7,41
2020,USA,Netflix,Mobile Developer,Junior,94310,65,Lockdown,Medium,84,9,53
2019,UK,IBM,Full Stack Developer,Junior,69944,69,Pre-Covid,Low,18,8,47
2021,Australia,Wipro,Mobile Developer,Junior,114682,81,Recovery,Medium,68,9,36
2019,India,Meta,Frontend Developer,Senior,17093,85,Pre-Covid,Low,32,8,35
2020,Australia,Google,Mobile Developer,Junior,85037,52,Lockdown,Medium,75,9,41
2021,USA,Google,Frontend Developer,Junior,125624,100,Recovery,Medium,72,7,51
2019,USA,Accenture,Mobile Developer,Junior,114765,77,Pre-Covid,Low,11,9,43
2021,Australia,Accenture,Backend Developer,Junior,86045,100,Recovery,Medium,82,6,38
2021,Germany,Accenture,Frontend Developer,Senior,107837,83,Recovery,Medium,71,10,52
2020,USA,Infosys,Mobile Developer,Junior,80511,54,Lockdown,Medium,85,9,45
2019,Canada,Infosys,Full Stack Developer,Mid,66991,84,Pre-Covid,Low,29,10,52
2020,India,Infosys,Data Scientist,Junior,17875,49,Lockdown,High,76,9,43
2020,Australia,TCS,Backend Developer,Mid,74818,41,Lockdown,Medium,88,8,36
